Date,Return,Strategy_Return,Cumulative_Market_Returns
2019-03-06,-0.006524098653592381,-0.006524098653592381,1.0973168597559637
2019-03-07,-0.00812571755868352,-0.00812571755868352,1.0901578563086656
2019-03-08,-0.0021316888487414865,-0.0021316888487414865,1.0812995414739215
2019-03-11,0.014666041867757107,0.014666041867757107,1.0789945472992122
2019-03-12,0.0029533182046204143,0.0029533182046204143,1.094819126504984
2019-03-13,0.006949583813841809,0.006949583813841809,1.0980524757620578
2019-03-14,-0.0008680223820187738,-0.0008680223820187738,1.1056834834743627
2019-03-15,0.00498490290027398,0.00498490290027398,1.1047237254632785
2019-03-18,0.0037059469012648005,0.0037059469012648005,1.110230665966342
2019-03-19,-0.0001305615560248663,-0.0001305615560248663,1.114345121862569
2019-03-20,-0.0029443536044478913,-0.0029443536044478913,1.11419963122951
2019-03-21,0.010852481049954399,0.010852481049954399,1.1109190335292247
2019-03-22,-0.018974501239482744,-0.018974501239482744,1.1229752612886343
2019-03-25,-0.000839020658475631,-0.000839020658475631,1.1016673658014047
2019-03-26,0.007182725862306283,0.007182725862306283,1.1007430441227288
2019-03-27,-0.0046443248906916645,-0.0046443248906916645,1.1086493796535029
2019-03-28,0.003589481529391092,0.003589481529391092,1.1035004517445282
2019-03-29,0.0067342800173637585,0.0067342800173637585,1.1074614462337398
2019-04-01,0.011568600124275408,0.011568600124275408,1.1149194017211124
2019-04-02,1.745570720723677e-05,1.745570720723677e-05,1.1278174584504204
2019-04-03,0.002148376881724312,0.002148376881724312,1.1278371453017584
2019-04-04,0.0020846350796801527,0.0020846350796801527,1.1302601645510746
2019-04-05,0.004636432770241061,0.004636432770241061,1.1326163445392627
2019-04-08,0.0010474599539205265,0.0010474599539205265,1.1378676440751951
2019-04-09,-0.006067494393846573,-0.006067494393846573,1.1390595148652258
2019-04-10,0.0034778715639784963,0.0034778715639784963,1.1321482776445235
2019-04-11,3.8123067008344336e-05,3.8123067008344336e-05,1.1360857439455507
2019-04-12,0.006609324208602496,0.006609324208602496,1.1361290550184944
2019-04-15,-0.0006293691084816588,-0.0006293691084816588,1.1436381002859248
